"Sample Number","Language","Time","Number of Partitioning Stages","Number of Exchanges","Number of Compares"
515,java 1.8.0_25,00.370,750,1528,3707
516,java 1.8.0_25,00.368,802,1548,2796
517,java 1.8.0_25,00.400,803,1512,3494
518,java 1.8.0_25,00.377,761,1512,3458
519,java 1.8.0_25,00.381,779,1500,3390
520,java 1.8.0_25,00.379,796,1569,3256
521,java 1.8.0_25,00.371,789,1527,3962
522,java 1.8.0_25,00.386,747,1503,3639
523,java 1.8.0_25,00.411,774,1551,3148
524,java 1.8.0_25,00.356,772,1551,3935
525,java 1.8.0_25,00.390,769,1465,3497
526,java 1.8.0_25,00.371,797,1482,3481
527,java 1.8.0_25,00.363,771,1615,3720
528,java 1.8.0_25,00.387,794,1487,3414
529,java 1.8.0_25,00.368,776,1569,3675
530,java 1.8.0_25,00.373,774,1567,3803
531,java 1.8.0_25,00.390,762,1504,4017
532,java 1.8.0_25,00.379,796,1639,3524
533,java 1.8.0_25,00.365,787,1537,3527
534,java 1.8.0_25,00.417,797,1550,3388
535,java 1.8.0_25,00.409,827,1530,3389
536,java 1.8.0_25,00.406,765,1566,4755
537,java 1.8.0_25,00.373,826,1586,3289
538,java 1.8.0_25,00.403,800,1584,4235
539,java 1.8.0_25,00.405,828,1628,4076
540,java 1.8.0_25,00.436,851,1567,3356
541,java 1.8.0_25,00.410,794,1540,3455
542,java 1.8.0_25,00.407,829,1541,4712
543,java 1.8.0_25,00.415,829,1652,3474
544,java 1.8.0_25,00.400,808,1584,3664
545,java 1.8.0_25,00.438,840,1664,3376
546,java 1.8.0_25,00.377,819,1581,3854
547,java 1.8.0_25,00.400,850,1623,3433
548,java 1.8.0_25,00.435,863,1600,3545
549,java 1.8.0_25,00.388,788,1575,4712
550,java 1.8.0_25,00.400,852,1600,3513
551,java 1.8.0_25,00.432,838,1686,3133
552,java 1.8.0_25,00.384,828,1562,4346
553,java 1.8.0_25,00.363,833,1585,4007
554,java 1.8.0_25,00.391,839,1738,3638
555,java 1.8.0_25,00.402,860,1679,3300
556,java 1.8.0_25,00.382,812,1564,4038
557,java 1.8.0_25,00.360,856,1644,3721
558,java 1.8.0_25,00.412,891,1701,3137
559,java 1.8.0_25,00.384,868,1679,3351
560,java 1.8.0_25,00.410,820,1670,3834
561,java 1.8.0_25,00.397,850,1629,4046
562,java 1.8.0_25,00.374,901,1729,2971
563,java 1.8.0_25,00.374,849,1684,3707
564,java 1.8.0_25,00.385,849,1559,3941
565,java 1.8.0_25,00.406,875,1706,3444
566,java 1.8.0_25,00.384,867,1654,3975
567,java 1.8.0_25,00.374,859,1620,4205
568,java 1.8.0_25,00.398,840,1591,5788
569,java 1.8.0_25,00.411,862,1653,3574
570,java 1.8.0_25,00.389,885,1647,3549
571,java 1.8.0_25,00.361,875,1682,4544
572,java 1.8.0_25,00.374,864,1615,3799
573,java 1.8.0_25,00.526,868,1714,3471
574,java 1.8.0_25,00.510,874,1676,3848
575,java 1.8.0_25,00.551,872,1734,4141
576,java 1.8.0_25,00.531,899,1684,3688
577,java 1.8.0_25,00.507,849,1783,4303
578,java 1.8.0_25,00.425,869,1664,4081
579,java 1.8.0_25,00.413,892,1681,4157
580,java 1.8.0_25,00.388,874,1687,4014
581,java 1.8.0_25,00.405,880,1628,3609
582,java 1.8.0_25,00.416,905,1779,3341
583,java 1.8.0_25,00.379,919,1822,3975
584,java 1.8.0_25,00.405,904,1756,3506
585,java 1.8.0_25,00.377,875,1706,4736
586,java 1.8.0_25,00.397,905,1704,4077
587,java 1.8.0_25,00.425,870,1720,5187
588,java 1.8.0_25,00.380,916,1667,3743
589,java 1.8.0_25,00.402,917,1722,3899
590,java 1.8.0_25,00.417,939,1727,3455
591,java 1.8.0_25,00.416,956,1735,3440
592,java 1.8.0_25,00.381,929,1714,4113
593,java 1.8.0_25,00.398,931,1824,3550
594,java 1.8.0_25,00.415,904,1678,4559
595,java 1.8.0_25,00.425,897,1729,4861
596,java 1.8.0_25,00.386,961,1769,3610
597,java 1.8.0_25,00.397,926,1772,4305
598,java 1.8.0_25,00.418,911,1710,4150
599,java 1.8.0_25,00.377,883,1675,4537
600,java 1.8.0_25,00.400,932,1764,3590
601,java 1.8.0_25,00.425,945,1746,4620
602,java 1.8.0_25,00.388,938,1721,4084
603,java 1.8.0_25,00.384,940,1782,3997
604,java 1.8.0_25,00.429,946,1744,4222
605,java 1.8.0_25,00.413,927,1787,4136
606,java 1.8.0_25,00.395,962,1765,3785
607,java 1.8.0_25,00.408,924,1838,4272
608,java 1.8.0_25,00.391,943,1806,4076
609,java 1.8.0_25,00.390,937,1786,4041
610,java 1.8.0_25,00.418,945,1887,3897
611,java 1.8.0_25,00.379,963,1835,4467
612,java 1.8.0_25,00.396,922,1714,4841
613,java 1.8.0_25,00.424,957,1751,3643
614,java 1.8.0_25,00.392,950,1761,4761
615,java 1.8.0_25,00.396,974,1812,4162
616,java 1.8.0_25,00.408,960,1838,4309
617,java 1.8.0_25,00.394,1020,1828,3572
618,java 1.8.0_25,00.395,971,1765,3730
619,java 1.8.0_25,00.431,960,1879,4413
620,java 1.8.0_25,00.387,957,1919,4909
621,java 1.8.0_25,00.660,964,1858,4098
622,java 1.8.0_25,00.686,956,1868,4141
623,java 1.8.0_25,00.735,986,1805,4538
624,java 1.8.0_25,00.729,975,1868,3994
625,java 1.8.0_25,00.916,971,1851,4617
626,java 1.8.0_25,00.992,947,1844,5118
627,java 1.8.0_25,00.787,941,1828,5202
628,java 1.8.0_25,00.637,935,1919,4718
629,java 1.8.0_25,00.624,989,1876,4017
630,java 1.8.0_25,00.615,996,1950,3972
631,java 1.8.0_25,00.546,955,1909,4197
632,java 1.8.0_25,00.589,973,1824,4465
633,java 1.8.0_25,00.628,964,1922,4845
634,java 1.8.0_25,00.612,1020,1858,3998
635,java 1.8.0_25,00.685,1007,1822,4044
636,java 1.8.0_25,00.577,1039,1919,3640
637,java 1.8.0_25,00.618,991,1899,4762
638,java 1.8.0_25,00.547,984,1834,4362
639,java 1.8.0_25,00.593,1025,1839,4336
640,java 1.8.0_25,00.596,994,1867,4303
641,java 1.8.0_25,00.645,1008,1978,3764
642,java 1.8.0_25,00.557,1036,1951,3994
643,java 1.8.0_25,00.566,1016,1912,4188
644,java 1.8.0_25,00.595,1002,1947,5045
645,java 1.8.0_25,00.581,1033,1923,4033
646,java 1.8.0_25,00.609,997,1884,4588
647,java 1.8.0_25,00.580,1039,1941,4250
648,java 1.8.0_25,00.541,977,1975,6251
649,java 1.8.0_25,00.575,978,2014,4977
650,java 1.8.0_25,00.600,1019,1845,4296
651,java 1.8.0_25,00.552,975,1868,7077
652,java 1.8.0_25,00.556,1027,2015,4391
653,java 1.8.0_25,00.577,1012,1894,5314
654,java 1.8.0_25,00.629,1022,1930,4705
655,java 1.8.0_25,00.621,1035,2008,4784
656,java 1.8.0_25,00.523,1025,1892,4490
657,java 1.8.0_25,00.494,1033,1941,4670
658,java 1.8.0_25,00.543,1037,1998,4243
659,java 1.8.0_25,00.597,1086,1944,3867
660,java 1.8.0_25,00.580,1013,1966,4922
661,java 1.8.0_25,00.506,1054,1940,4983
662,java 1.8.0_25,00.505,1021,1960,4710
663,java 1.8.0_25,00.497,1006,1963,4709
664,java 1.8.0_25,00.513,1072,1983,4669
665,java 1.8.0_25,00.492,1023,2061,5032
666,java 1.8.0_25,00.509,1057,1947,4830
667,java 1.8.0_25,00.494,1076,1992,4266
668,java 1.8.0_25,00.548,1047,1976,4925
669,java 1.8.0_25,00.491,1085,1966,4464
670,java 1.8.0_25,00.487,1059,2085,5086
671,java 1.8.0_25,00.505,1075,2063,4472
672,java 1.8.0_25,00.520,1050,2055,4416
673,java 1.8.0_25,00.541,1089,2077,4263
674,java 1.8.0_25,00.535,1134,2027,4078
675,java 1.8.0_25,00.559,1058,2014,4596
676,java 1.8.0_25,00.482,1076,2022,4778
677,java 1.8.0_25,00.522,1063,1988,5174
678,java 1.8.0_25,00.567,1060,2012,5196
679,java 1.8.0_25,00.574,1029,2062,5215
680,java 1.8.0_25,00.586,1077,2057,4210
681,java 1.8.0_25,00.561,1066,2060,5633
682,java 1.8.0_25,00.597,1115,2075,4606
683,java 1.8.0_25,00.589,1083,2064,4424
684,java 1.8.0_25,00.581,1084,2058,5467
685,java 1.8.0_25,00.535,1119,2095,4181
686,java 1.8.0_25,00.569,1105,2092,5030
687,java 1.8.0_25,00.584,1107,2127,4590
688,java 1.8.0_25,00.577,1087,2080,4850
689,java 1.8.0_25,00.541,1108,2130,4494
690,java 1.8.0_25,00.548,1093,2070,4788
691,java 1.8.0_25,00.582,1083,1983,5337
692,java 1.8.0_25,00.581,1132,2071,4528
693,java 1.8.0_25,00.520,1103,2065,5058
694,java 1.8.0_25,00.546,1112,2091,4305
695,java 1.8.0_25,00.642,1106,2142,5050
696,java 1.8.0_25,00.562,1148,2125,4484
697,java 1.8.0_25,00.582,1068,2050,5955
698,java 1.8.0_25,00.573,1075,2036,6756
699,java 1.8.0_25,00.588,1137,2190,5189
700,java 1.8.0_25,00.561,1087,2020,5201
701,java 1.8.0_25,00.544,1116,2120,4970
702,java 1.8.0_25,00.561,1116,2096,5032
703,java 1.8.0_25,00.576,1158,2188,4547
704,java 1.8.0_25,00.576,1151,2171,4947
705,java 1.8.0_25,00.535,1141,2102,4293
706,java 1.8.0_25,00.528,1168,2205,4428
707,java 1.8.0_25,00.528,1135,2114,5121
708,java 1.8.0_25,00.551,1144,2138,4644
709,java 1.8.0_25,00.574,1108,2090,5979
710,java 1.8.0_25,00.589,1158,2143,5074
711,java 1.8.0_25,00.563,1172,2186,4546
712,java 1.8.0_25,00.584,1156,2097,5452
713,java 1.8.0_25,00.593,1108,2106,5897
714,java 1.8.0_25,00.611,1156,2126,5307
715,java 1.8.0_25,00.534,1140,2136,5167
716,java 1.8.0_25,00.470,1146,2178,4916
717,java 1.8.0_25,00.535,1158,2100,4693
718,java 1.8.0_25,00.589,1185,2123,4884
719,java 1.8.0_25,00.583,1206,2258,4290
720,java 1.8.0_25,00.679,1170,2107,4856
721,java 1.8.0_25,00.685,1104,2105,5878
722,java 1.8.0_25,00.703,1147,2125,5885
723,java 1.8.0_25,00.754,1143,2176,5112
724,java 1.8.0_25,00.731,1165,2199,5253
725,java 1.8.0_25,00.583,1177,2194,4834
726,java 1.8.0_25,00.760,1189,2167,5041
727,java 1.8.0_25,01.016,1193,2204,4992
728,java 1.8.0_25,00.952,1168,2228,5575
729,java 1.8.0_25,00.756,1140,2152,5157
730,java 1.8.0_25,00.677,1160,2152,5320
731,java 1.8.0_25,00.616,1145,2227,5496
732,java 1.8.0_25,00.653,1143,2145,5791
733,java 1.8.0_25,00.653,1173,2183,5223
734,java 1.8.0_25,00.641,1190,2175,5692
735,java 1.8.0_25,00.664,1126,2180,6550
736,java 1.8.0_25,00.785,1185,2241,4962
737,java 1.8.0_25,00.658,1165,2209,6048
738,java 1.8.0_25,00.699,1180,2225,5478
739,java 1.8.0_25,00.547,1229,2243,4925
740,java 1.8.0_25,00.575,1208,2216,4680
741,java 1.8.0_25,00.617,1192,2241,5493
742,java 1.8.0_25,00.634,1204,2235,5301
743,java 1.8.0_25,00.548,1217,2224,5700
744,java 1.8.0_25,00.590,1206,2240,5420
745,java 1.8.0_25,00.655,1235,2285,4695
746,java 1.8.0_25,00.609,1217,2232,5042
747,java 1.8.0_25,00.559,1204,2210,4861
748,java 1.8.0_25,00.612,1199,2253,6576
749,java 1.8.0_25,00.600,1220,2231,5053
750,java 1.8.0_25,00.543,1153,2183,7891
751,java 1.8.0_25,00.574,1225,2251,5751
752,java 1.8.0_25,00.576,1266,2283,4838
753,java 1.8.0_25,00.616,1195,2195,6085
754,java 1.8.0_25,00.531,1197,2238,5440
755,java 1.8.0_25,00.612,1166,2222,6024
756,java 1.8.0_25,00.618,1264,2278,4758
757,java 1.8.0_25,00.532,1264,2336,4957
758,java 1.8.0_25,00.568,1240,2376,4970
759,java 1.8.0_25,00.596,1229,2258,5114
760,java 1.8.0_25,00.628,1239,2360,5671
761,java 1.8.0_25,00.557,1241,2293,5502
762,java 1.8.0_25,00.598,1221,2274,5989
763,java 1.8.0_25,00.586,1211,2296,5862
764,java 1.8.0_25,00.611,1166,2214,7003
765,java 1.8.0_25,00.564,1248,2339,5305
766,java 1.8.0_25,00.641,1280,2453,5206
767,java 1.8.0_25,00.612,1246,2345,5275
768,java 1.8.0_25,00.607,1272,2323,5504
769,java 1.8.0_25,00.641,1227,2261,5644
770,java 1.8.0_25,00.580,1265,2279,5342
771,java 1.8.0_25,00.649,1202,2246,6028
772,java 1.8.0_25,00.643,1233,2336,6239
773,java 1.8.0_25,00.544,1261,2287,5851
774,java 1.8.0_25,00.578,1288,2327,5617
775,java 1.8.0_25,00.639,1302,2372,5265
776,java 1.8.0_25,00.675,1204,2308,7301
777,java 1.8.0_25,00.812,1273,2352,5205
778,java 1.8.0_25,00.775,1247,2372,6267
779,java 1.8.0_25,00.942,1274,2301,5425
780,java 1.8.0_25,00.928,1268,2308,5819
781,java 1.8.0_25,00.795,1247,2340,5573
782,java 1.8.0_25,00.783,1284,2389,6014
783,java 1.8.0_25,00.692,1263,2423,5526
784,java 1.8.0_25,00.660,1289,2361,5506
785,java 1.8.0_25,00.662,1267,2403,5987
786,java 1.8.0_25,00.686,1265,2406,5658
787,java 1.8.0_25,00.657,1307,2457,5238
788,java 1.8.0_25,00.683,1297,2424,5909
789,java 1.8.0_25,00.648,1285,2399,6178
790,java 1.8.0_25,00.653,1310,2396,5613
791,java 1.8.0_25,00.620,1269,2419,5837
792,java 1.8.0_25,00.555,1363,2423,6036
793,java 1.8.0_25,00.617,1320,2428,6854
794,java 1.8.0_25,00.641,1267,2447,5576
795,java 1.8.0_25,00.631,1302,2470,5738
796,java 1.8.0_25,00.706,1332,2497,5135
797,java 1.8.0_25,00.820,1315,2422,6186
798,java 1.8.0_25,00.665,1296,2476,6189
799,java 1.8.0_25,00.700,1342,2413,5565
800,java 1.8.0_25,00.656,1352,2473,5036
801,java 1.8.0_25,00.722,1324,2541,4902
802,java 1.8.0_25,00.907,1302,2420,5707
803,java 1.8.0_25,01.079,1304,2441,6546
804,java 1.8.0_25,00.841,1291,2377,7045
805,java 1.8.0_25,00.681,1318,2391,6225
806,java 1.8.0_25,00.664,1323,2411,5963
807,java 1.8.0_25,00.771,1354,2514,5515
808,java 1.8.0_25,00.660,1386,2435,5172
809,java 1.8.0_25,00.627,1319,2405,6510
810,java 1.8.0_25,00.639,1329,2546,5653
811,java 1.8.0_25,00.605,1319,2436,6196
812,java 1.8.0_25,00.729,1323,2530,5685
813,java 1.8.0_25,00.595,1361,2564,5411
814,java 1.8.0_25,00.647,1348,2504,5582
815,java 1.8.0_25,00.578,1303,2558,6490
816,java 1.8.0_25,00.604,1325,2575,5420
817,java 1.8.0_25,00.676,1320,2442,7184
818,java 1.8.0_25,00.668,1341,2609,5860
819,java 1.8.0_25,00.625,1364,2546,6245
820,java 1.8.0_25,00.574,1359,2478,6103
821,java 1.8.0_25,00.551,1341,2425,5562
822,java 1.8.0_25,00.605,1314,2533,6371
823,java 1.8.0_25,00.624,1385,2558,5269
824,java 1.8.0_25,00.635,1383,2610,5651
825,java 1.8.0_25,00.627,1304,2428,7129
826,java 1.8.0_25,00.517,1344,2523,6242
827,java 1.8.0_25,00.544,1412,2592,5572
828,java 1.8.0_25,00.579,1345,2482,6300
829,java 1.8.0_25,00.605,1400,2542,5492
830,java 1.8.0_25,00.642,1345,2495,6643
831,java 1.8.0_25,00.628,1379,2553,6077
832,java 1.8.0_25,00.665,1355,2580,5920
833,java 1.8.0_25,00.560,1351,2505,6558
834,java 1.8.0_25,00.596,1377,2567,6776
835,java 1.8.0_25,00.581,1372,2536,6102
836,java 1.8.0_25,00.632,1381,2644,5862
837,java 1.8.0_25,00.627,1354,2524,7851
838,java 1.8.0_25,00.643,1350,2563,7443
839,java 1.8.0_25,00.642,1366,2601,6001
840,java 1.8.0_25,00.697,1401,2686,5639
841,java 1.8.0_25,00.661,1422,2601,6323
842,java 1.8.0_25,00.643,1388,2549,6208
843,java 1.8.0_25,00.550,1375,2541,7033
844,java 1.8.0_25,00.571,1386,2659,6406
845,java 1.8.0_25,00.630,1352,2611,7488
846,java 1.8.0_25,00.659,1433,2631,5536
847,java 1.8.0_25,00.616,1376,2595,8585
848,java 1.8.0_25,00.628,1381,2544,6901
849,java 1.8.0_25,00.642,1353,2598,6996
850,java 1.8.0_25,00.566,1432,2696,5796
851,java 1.8.0_25,00.577,1388,2546,7212
852,java 1.8.0_25,00.602,1396,2575,6364
853,java 1.8.0_25,00.602,1407,2595,6792
854,java 1.8.0_25,00.606,1364,2495,8424
855,java 1.8.0_25,00.655,1434,2663,5585
856,java 1.8.0_25,00.535,1421,2754,6156
857,java 1.8.0_25,00.611,1432,2652,6110
858,java 1.8.0_25,00.659,1392,2614,6424
859,java 1.8.0_25,00.638,1437,2613,6280
860,java 1.8.0_25,00.643,1419,2536,6662
861,java 1.8.0_25,00.672,1431,2682,6590
862,java 1.8.0_25,00.642,1425,2635,6566
863,java 1.8.0_25,00.561,1416,2674,6428
864,java 1.8.0_25,00.581,1417,2506,7059
865,java 1.8.0_25,00.645,1466,2576,5996
866,java 1.8.0_25,00.642,1422,2656,6059
867,java 1.8.0_25,00.687,1452,2710,6033
868,java 1.8.0_25,00.670,1432,2620,6450
869,java 1.8.0_25,00.618,1441,2622,5842
870,java 1.8.0_25,00.616,1456,2699,6328
871,java 1.8.0_25,00.608,1446,2638,6187
872,java 1.8.0_25,00.598,1372,2573,8312
873,java 1.8.0_25,00.601,1438,2733,6407
874,java 1.8.0_25,00.765,1465,2643,6444
875,java 1.8.0_25,00.606,1447,2658,6398
876,java 1.8.0_25,00.698,1493,2697,6290
877,java 1.8.0_25,00.727,1483,2806,5834
878,java 1.8.0_25,00.809,1425,2773,6090
879,java 1.8.0_25,00.631,1465,2652,7222
880,java 1.8.0_25,00.711,1385,2614,8509
881,java 1.8.0_25,00.939,1468,2633,7077
882,java 1.8.0_25,01.422,1503,2777,7221
883,java 1.8.0_25,00.725,1511,2795,5694
884,java 1.8.0_25,00.725,1432,2728,6858
885,java 1.8.0_25,00.739,1508,2696,6395
886,java 1.8.0_25,00.629,1465,2641,7427
887,java 1.8.0_25,00.653,1481,2795,6654
888,java 1.8.0_25,00.635,1487,2725,6514
889,java 1.8.0_25,00.626,1462,2638,6616
890,java 1.8.0_25,00.710,1517,2736,6154
891,java 1.8.0_25,00.698,1508,2758,6704
892,java 1.8.0_25,00.573,1536,2747,6209
893,java 1.8.0_25,00.614,1501,2787,6026
894,java 1.8.0_25,00.757,1524,2794,6273
895,java 1.8.0_25,00.603,1495,2768,6853
896,java 1.8.0_25,00.682,1509,2835,7356
897,java 1.8.0_25,00.640,1533,2704,5607
898,java 1.8.0_25,00.625,1493,2755,6780
899,java 1.8.0_25,00.602,1492,2800,7406
900,java 1.8.0_25,00.608,1503,2686,7129
901,java 1.8.0_25,00.633,1495,2825,6953
902,java 1.8.0_25,00.652,1551,2791,6504
903,java 1.8.0_25,00.803,1494,2806,7042
904,java 1.8.0_25,00.682,1538,2694,6346
905,java 1.8.0_25,00.716,1510,2797,6804
906,java 1.8.0_25,00.688,1506,2869,6496
907,java 1.8.0_25,00.645,1514,2684,6892
908,java 1.8.0_25,00.680,1520,2782,6822
909,java 1.8.0_25,00.659,1544,2776,7122
910,java 1.8.0_25,00.785,1552,2919,6815
911,java 1.8.0_25,00.665,1536,2760,6399
912,java 1.8.0_25,00.596,1525,2848,6987
913,java 1.8.0_25,00.699,1505,2779,7871
914,java 1.8.0_25,00.693,1516,2876,6754
915,java 1.8.0_25,00.687,1516,2802,6491
916,java 1.8.0_25,00.654,1509,2816,7262
917,java 1.8.0_25,00.684,1580,2922,5694
918,java 1.8.0_25,00.633,1577,2904,7657
919,java 1.8.0_25,00.670,1525,2893,7772
920,java 1.8.0_25,00.681,1545,2868,7592
921,java 1.8.0_25,00.609,1539,2815,7013
922,java 1.8.0_25,00.650,1556,2876,7185
923,java 1.8.0_25,00.594,1586,2829,6794
924,java 1.8.0_25,00.716,1569,2843,6593
925,java 1.8.0_25,00.631,1512,2876,8224
926,java 1.8.0_25,00.662,1574,2869,5927
927,java 1.8.0_25,00.629,1577,2845,6661
928,java 1.8.0_25,00.627,1527,2884,7366
929,java 1.8.0_25,00.599,1567,2830,6234
930,java 1.8.0_25,00.608,1569,2858,7016
931,java 1.8.0_25,00.630,1549,2897,7165
932,java 1.8.0_25,00.841,1564,2901,6392
933,java 1.8.0_25,00.692,1524,2889,7582
934,java 1.8.0_25,00.687,1616,2863,6445
935,java 1.8.0_25,00.676,1573,2873,6815
936,java 1.8.0_25,00.687,1564,2891,6658
937,java 1.8.0_25,00.678,1543,2906,6907
938,java 1.8.0_25,00.796,1638,2899,6401
939,java 1.8.0_25,00.628,1601,2932,6626
940,java 1.8.0_25,00.683,1577,2926,7869
941,java 1.8.0_25,00.738,1574,2906,8916
942,java 1.8.0_25,00.671,1565,2944,7812
943,java 1.8.0_25,00.831,1606,2950,6732
944,java 1.8.0_25,00.827,1540,2879,7349
945,java 1.8.0_25,00.763,1643,2937,6619
946,java 1.8.0_25,00.786,1589,3055,6833
947,java 1.8.0_25,00.668,1605,3041,6915
948,java 1.8.0_25,00.740,1634,3033,6586
949,java 1.8.0_25,00.685,1606,2978,7595
950,java 1.8.0_25,00.754,1599,3056,6805
951,java 1.8.0_25,00.991,1664,2912,6451
952,java 1.8.0_25,00.705,1627,3067,6076
953,java 1.8.0_25,00.669,1623,2935,6691
954,java 1.8.0_25,00.677,1648,3057,7154
955,java 1.8.0_25,00.698,1667,3085,6488
956,java 1.8.0_25,00.695,1626,2975,7211
957,java 1.8.0_25,00.875,1625,3048,8154
958,java 1.8.0_25,00.645,1672,3104,6731
959,java 1.8.0_25,00.652,1630,2921,7500
960,java 1.8.0_25,00.690,1607,3009,7329
961,java 1.8.0_25,00.694,1628,2926,8054
962,java 1.8.0_25,00.734,1665,3009,6380
963,java 1.8.0_25,00.749,1627,3012,7734
964,java 1.8.0_25,00.879,1654,2991,6915
965,java 1.8.0_25,00.659,1681,3069,6598
966,java 1.8.0_25,00.717,1664,3115,6461
967,java 1.8.0_25,00.674,1651,2997,7184
968,java 1.8.0_25,00.662,1634,3052,7264
969,java 1.8.0_25,00.669,1623,3044,7250
970,java 1.8.0_25,00.656,1687,3093,7337
971,java 1.8.0_25,00.794,1673,3082,7253
972,java 1.8.0_25,00.747,1641,3005,7687
973,java 1.8.0_25,00.701,1677,3033,7403
974,java 1.8.0_25,00.672,1651,3021,7509
975,java 1.8.0_25,00.735,1664,3102,7114
976,java 1.8.0_25,00.705,1672,2960,7002
977,java 1.8.0_25,00.897,1700,3017,6683
978,java 1.8.0_25,00.687,1716,3022,7336
979,java 1.8.0_25,00.684,1647,3076,7244
980,java 1.8.0_25,00.808,1727,3058,6410
981,java 1.8.0_25,00.762,1715,3148,6064
982,java 1.8.0_25,00.703,1643,3039,9082
983,java 1.8.0_25,00.696,1648,3050,7908
984,java 1.8.0_25,00.742,1679,2955,8108
985,java 1.8.0_25,00.692,1693,3085,6978
986,java 1.8.0_25,00.734,1654,3183,9064
987,java 1.8.0_25,00.938,1690,3057,7082
988,java 1.8.0_25,00.824,1703,3013,7085
989,java 1.8.0_25,00.689,1758,3146,6594
990,java 1.8.0_25,00.644,1669,3040,7650
991,java 1.8.0_25,00.663,1676,3010,7971
992,java 1.8.0_25,00.668,1614,3063,9663
993,java 1.8.0_25,00.778,1754,3225,6832
994,java 1.8.0_25,00.758,1712,3089,8390
995,java 1.8.0_25,00.643,1690,3158,7979
996,java 1.8.0_25,00.659,1700,3101,7628
997,java 1.8.0_25,00.711,1702,3104,8549
998,java 1.8.0_25,00.817,1721,3107,7511
999,java 1.8.0_25,00.684,1716,3102,7141
1000,java 1.8.0_25,00.797,1744,3123,7236
